事故原因分类代码（原文档出险原因分类代码）,AccidentReason
互联网（第三方）出单公司统一社会信用代码,InterComUnifiedSocialCreditCode
结算日期（Settlement）,SettlementDate
建工险工程施工企业资质等级代码,ProjectConstrCompanyLevel
互联网（第三方）出单公司名称,InterComName
年度医疗保险基金累计支付金额,AnnualFundPayment
事故日期（原文档出险日期）,AccidentDate
年度累计医疗保险范围内金额,AnnualMedicalPayment
犹豫期天数（Period）,HesitatePeriod 
报案人与被保险人关系代码,ReporterRelationToInsured
年度门诊大额累计支付金额,AnnualLargeAmountPayment
申请人与被保险人关系代码,ApplyerRelationToInsured
变更前所需豁免剩余保费,PreWaiverPrem
出险人保单身份类型代码,PolType
交易类型所对应业务代码,TransTypeCorrBussType
领款人与被保人关系代码,RelationOfPayeeAndInsured
人身险产品设计类型代码,InvestmentType
受益人与被保人关系代码,RelationToInsured
业务类型（Event）,EventType
原借款或自垫保全批单号,LoanEndorsementNo
保单回执客户签收标志,PolSignFlag
保单回执客户签收日期,CustomGetPolDate
保全由消费者发起标志,ConsumerInitiatedFlag
保险责任效力恢复日期,ProductRecoverDate
变更前被保人投保年龄,PreInsuredAge
出险地点（地级编码）,City
出险地点（省级编码）,Province
出险地点（县级编码）,County
从业人员资格证书号码,QuafCertNo
客户保单身份类型代码,PolTypeCode
明细费用项目之拼音码,MedicalDetailPY
明细费用项目之五笔码,MedicalDetailWB
其中门诊大额支付金额,LargeAmountPayment
销售服务人员手机号码,Mobile
业务类型代码(缩写),BussType
医疗保险基金支付金额,FundPayment
保单第三方质押标识,PledgeFlag
保险金领取方式代码,BenefitWDMthd
保险金支付方式代码,BenefitPayMthd
报案人证件类别代码,ReporterCertType
补/退费子业务类型,SubFeeOperationType
出险人证件类型代码,DangerCertTypeCode
代理或经纪机构编码,AgencyCode
代理或经纪机构名称,AgencyName
给付比例（无医保）,ClaimRatio2
给付比例（有医保）,ClaimRatio1
建工险工程建筑面积,ProjectAcreage
建工险工程类型代码,ProjectType
建工险工程施工地址,ProjectConstrAddress
建工险工程项目名称,ProjectName
进入黑名单原因代码,BlackListReason
进入黑名单原因描述,BlackListRemark
领款人证件类型代码,PayeeCertType
免赔比例（无医保）,DeductibleRatio2
免赔比例（有医保）,DeductibleRatio1
其中超大额封顶金额,PaymentCap
申请人证件类别代码,ApplyerCertType
是否按固定利率计算,SpecifyRate
受益人证件类型代码,CertType
投保人证件类型代码,AppntCertType
团体保单投保单号码,GrpApplicationFormNo
销售服务员移动电话,AgentMobile
销售人员资格证号码,QuafCertNo
医疗保险范围内金额,MedicalPayment
与主被保人关系代码,RelationToMainInsured
再保人参与份额比例,ReinsuranceShare
再保险附约主合同号,MainReInsuranceContNo
重疾一次性给付终止,MajorDiseasesBenefitPolState
包含特殊医院标志,SpecialHospital 
保单初始费用标志,InitialFeeFlag
保单回执签收标志,PolSignFlag
保单类型标记代码,PolTypeFlag
保单首次生效日期,FirstEffectiveDate
保单团个性质代码,GPFlag
保单险种状态代码,Status
保单效力恢复日期,RecoverDate
保单终止原因代码,TerminationReason
保费业务类型代码,PremiumType
保全申请类型代码,PreserveAppCode
保险年期类型代码,InsurancePeriodFlag
保险期限类型代码,TermType
保险责任生效日期,EffDate
保险责任中止日期,ProductSuspendDate
保险责任终止日期,InvalidDate
保险账户标记代码,InsuAccFlag
被保险人类型代码,InsuredType
补/退费财务类型,FeeFinaType
补/退费到帐日期,EnterAccDate
补/退费确认日期,GetConfirmDate
补/退费业务类型,FeeOperationType
参加社会统筹标志,SocietyStat
出险原因分类代码,LossOccurReason
次标准体加费金额,SubStandardFee
从业人员出生日期,BirthDate
从业人员手机号码,Mobile
从业人员性别代码,Sex
定期结算方式代码,RegularClearing
个单保险险种号码,ProductNo
个人账户支付金额,AccountPayment
公司e_mail,EMail
核保业务类型代码,UWBusinessType
红利分配方式代码,DivDistribMeth
交费（结算）日期,PayDate
交费年期类型代码,PayTermType
累计领取年金金额,AccumAnnuityWD
理赔受理机构代码,ManageCom
理赔受理机构名称,ManageComName
理赔调查结束日期,InvestigationEndDate
理赔调查开始日期,InvestigationStartDate
立案日期(缩写),RgtDate
连带配偶投保人数,RelaMatePeoples
连带其他投保人数,RelaOtherPeoples
连带子女投保人数,RelaYoungPeoples
免赔额（无医保）,Deductible2
免赔额（有医保）,Deductible1
明细费用化学名称,MedicalChemistryName
明细费用商品名称,MedicalDetailName
纳税人开户行账号,TaxpayerBankAccount
年度门诊大额余额,LargeAmountBalance
年金保证领取年限,AnnuityPeriod
赔付责任类型代码,BenefitType
轻症最大给付次数,MildDiseasesMaxBenefitNum
是否犹豫期内回访,HesitatePeriodFlag
收费项目等级代码,ChargeItemLevelCode
收据编号类型代码,ReceiptType
收据医疗类型代码,ReceiptMedicalType
损伤外部原因代码,InjuryReasonCode
所需豁免剩余保费,WaiverPrem
通融给付金额合计,ApproveAmnt
统一社会信用代码,UnifiedSocialCreditCode
突破社保目录标志,BreakThroughSocialSecurityFlag
团体保单缴费类型,PaymentType
团体保单险种号码,GrpProductNo
团体保单印刷号码,GrpPrtNo
限制定点医院标志,DesignatedHospitalFlag
销售服务人员编码,AgentCode
销售服务人员标志,SaleSvcFlag
销售服务人员评价,SaleJudge
