保单交易表,LCPolTransaction
个人保单表,LCCont
被保险人险种关联表,LCProdInsuRela
个人险种表,LCProduct
保单险种责任项表,LCLiability
受益人表,LCBnf
团体保单表,LCGrpCont
团体险种表,LCGrpProduct
团体投保人表,LCGrpAppnt
被保险人表,LCInsured
保险账户表,LCInsureAcc
账户履历表,LCInsureAccTrace
理赔保单明细表,LLClaimPolicy
理赔受益人账户表,LLBnf
理赔险种责任项表,LLClaimDetail
理赔案件信息表,LLClaimInfo
出险人信息表,LLClaimantInfo
医疗收据信息表,LLReceipt
医疗费用项目表,LLCostItem
医疗费用明细表,LLMedicalFeeDetail
疾病信息表,LLDisease
手术信息表,LLOperation
保险公司销售服务人员信息表,LASale
保险中介渠道及从业人员信息表,LAAgent
保单佣金信息表,LACommission
暂收费表,LJTempFee
红利分配表,LJDivDistrib
生存金领取表,LJAGetLivBene
团体保费表,LJAPayGrp
保费明细表,LJAPay
保全补退费表,LJAGetEndorse
险种定义表,LMProduct
险种责任定义表,LMLiability
付费明细表,LJAGet
保单险种核保信息表,LAllUnderWriting
客户黑名单信息表,LCBlacklist
再保产品信息表,LRProduct
再保合同信息表,LRInsureCont
再保账单信息表,LRAccount
再保首续期险种明细表,LRCont
再保保全变更信息表,LREdor
再保理赔信息表,LRClaim
再保生存金信息表,LRBenefit
保单借款及自垫信息表,LJLoan
保单还款信息表,LJLoanRepayment
保单增值税信息表,LJTax
保单发票关联表,LJInvoiceRelation
发票信息表,LJInvoice
客户回访表,LCCustomerReturnCall
