ORDERDATE,ORDERNUMBER,ORDERLINENUMBER,PRODUCTCODE,PRODUCTLINE,QUANTITYORDERED,PRICEEACH,SALES
2/20/2004 0:00 ,10223,10,S24_4278 ,Planes ,23,74.62,1716.26
11/21/2004 0:00,10337,3,S18_4027 ,Classic Cars ,36,100 ,5679.36
6/16/2003 0:00 ,10131,2,S700_4002,Planes ,26,85.13,2213.38
7/6/2004 0:00 ,10266,5,S18_1984 ,Classic Cars ,49,100 ,6203.4
10/16/2004 0:00,10310,4,S24_2972 ,Classic Cars ,33,41.91,1383.03
12/4/2004 0:00 ,10353,4,S700_2834,Planes ,48,68.8 ,3302.4
1/20/2005 0:00 ,10370,8,S12_1666 ,Trucks and Buses,49,100 ,8470.14
3/11/2004 0:00 ,10229,6,S24_2300 ,Trucks and Buses,48,100 ,5704.32
7/19/2004 0:00 ,10270,6,S12_1666 ,Trucks and Buses,28,100 ,4094.72
8/25/2003 0:00 ,10145,4,S32_4485 ,Motorcycles ,27,100 ,3251.34
